recipe_name,multiplier
Moss-1-without-sludge-for-real,38.767142188378855
log1,30.53469113576951
digosaurus-helmod-recipe-dried-meat,11.247351380811823
wood-seedling,7.632923923344109
extract-limestone-01,7.175420221523185
cellulose-00,7.168611079678856
logistic-science-pack,6.759474810657787
petri-dish-bacteria,6.33004805079986
ulric-improved-5,6.230565617828082
ex-me-ulr,5.852317111565472
seaweed-dry,4.023327791892993
fawogae-1,2.6855103206810047
py-science-pack-1,2.0154960188819966
muddy-sludge-void-electrolyzer,1.3099956060611617
nexelit-plate-2,1.2691520347081722
clean-nexelit,1.1619973794246325
log-wood,1.1451590530677402
dried-meat-01,1.0970435781073475
moondrop-co2,0.9542398656271192
fawogae-substrate,0.8352406130469011
agar,0.8041898163412924
petri-dish,0.804000541107107
vonix-improved-5,0.7531474210469769
fawogae-spore,0.6441410279889539
stone-brick,0.5839450743723128
automation-science-pack,0.5235604960537487
vrauks-improved-7,0.4780113599594511
wood-seeds,0.47762433899063644
clay,0.45186895034814456
Caged-scrondrix-9,0.4402562410637448
vrauks-improved-9,0.40617201776945705
ex-gut-von,0.3736773617316114
xenogenic-from-bonemeal,0.34121927096169696
antiviral,0.33275732147162834
rennea-co,0.31673902587165387
pan,0.28665203531340505
lead-plate-2,0.2754330585452446
ex-bon-auog,0.22106745727920632
bricks-to-stone,0.2199151127367561
oxidized-pan-fiber,0.21531866109888798
fiber-01,0.2081991958239114
bioreserve-super-1,0.19067588231254495
clean-glass-sheet,0.18839909049664919
coal-fawogae,0.1757415863843844
ash-bone,0.17220522275405906
ceramic,0.168065853442467
ex-blo-xeno,0.1661238358224717
ex-me-kma,0.1646405645521898
arqad,0.1591916693045767
psc,0.1449443497835108
ex-ski-pha,0.14224091875143782
hcl-from-guts,0.13751040550992338
pbsb-alloy,0.13071474587026446
cobalt-nx,0.1285322281636672
alien-enzymes,0.1137149234489407
zinc-chloride,0.10967050486708749
caged-ulric,0.10597378110563063
ex-bon-ulr,0.10501167732483212
planter-box,0.10313322831030683
clean-rf-gel,0.09156945345517475
caged-auog,0.08502558534367252
uncaged-ulric,0.0816568329348347
grade-4-zinc,0.08096071255034476
prepared-glass,0.07876412724921619
uncaged-auog,0.07516082190387957
powdered-zinc,0.07300393063021281
bhoddos-spore,0.07209268329066348
zinc-plate-4,0.0702979427588963
honey-to-sugar,0.069098115226307
caged-dingrits,0.06177073267646838
caged-simik,0.06164129652837042
auog-recharge-glowing-mushroom-mk01,0.060512917645738275
sea-sponge-1-no-zonga,0.059829100342843236
caged-vrauks,0.05939919713624815
caged-phagnot,0.05836431203391904
caged-phadai,0.05828552155645511
caged-xeno,0.05825655199467134
caged-scrondrix,0.05676375039159419
caged-kmauts,0.0563928755106442
battery-1,0.05591103242553696
uncaged-dingrits,0.0547613099525459
uncaged-simik,0.05463088119858712
caged-arthurian,0.05336833543189794
coke-coal,0.052208899548063355
uncaged-phagnot,0.05135610048495164
uncaged-phadai,0.051276305360422686
uncaged-xeno,0.05124749318256031
ex-bra-ulr,0.05109156779204099
concentrated-ti,0.050742838545137975
uncaged-vrauks,0.04993575376662092
uncaged-kmauts,0.04938545586846872
uncaged-scrondrix,0.04849762288962287
alien-sample01,0.04637865987650566
uncaged-arthurian,0.04636074372876749
nano-cellulose-sap,0.04437446031988956
ex-blo-ulr,0.044249657677239464
nickel-plate-2,0.04352485176981935
kicalk-1,0.040980100107745596
cobalt-oxide,0.037281753985881926
nano-mesh,0.03645592493559013
iron-stick,0.03532334533958697
in-vitro-meat,0.0352627968313547
copper-cable,0.03372061939872888
cheap-retrovirus,0.03366726901465946
grod-1-pressured,0.03236696284166835
decalin,0.031074835737513715
graphite,0.030538578466268406
ex-bon-sim,0.03045443202525349
simik-poop-to-borax,0.02882490242168351
bhoddos-1-meltdown,0.026768729382298934
pyrite-burn,0.02618770019590878
cf2,0.02608759271987344
flutec-pp6,0.024247332802312657
ex-bra-scro,0.02385565838954684
guts-to-acetic-acid,0.023693446699672844
hyaline,0.02333338633053252
earth-generic-sample-duplication,0.021164646227734556
breed-fish-1,0.02066480420922532
ticocr-alloy,0.02062925171615686
zogna-bacteria-darkness,0.020357491999109186
cridren-seeds-to-mo,0.01976325760490031
ground-sample01,0.019698654128060843
sand-washing,0.01944444027899952
pa-aluminium,0.018590619603452024
borax-washing,0.018411269527037154
high-grade-ti,0.018115352813971575
hexafluoroacetone,0.018026406800662347
grade-3-zinc,0.01771069263852989
cobalt-sulfate-02,0.017587682667800204
iron-oxide-smelting,0.01741579752227237
kicalk-1-rotation,0.017175046008238996
scafold-free-bones,0.01684454735214095
artificial-blood,0.016815421697637032
animal-sample-01,0.016756531163663477
wash-grade-3-tin,0.016752738103701263
re-magnet,0.015832019559452216
ex-ski-vrauks,0.015809956074528054
bolts,0.015445518414012207
navens-spore,0.015425567432694846
tholin-to-methanal,0.01435884584808657
pyrolytic-carbon,0.014271952563429497
empty-benzene-canister,0.01405462567592623
trits-improved-11,0.01369255799957124
fiber,0.013587875677429171
fill-benzene-canister,0.013313658991043134
cobalt-fluoride,0.013299649396233407
co-biomass-extraction,0.013058739691921565
scrondrix-experimental-treatment,0.012861812047538466
yotoi-leaves,0.012765153172379152
polished-glass-surface,0.012621754659033431
dhilmos-1,0.012529256290334653
ex-venom-arq,0.012479727003566195
nanozymes,0.01238259374198219
gas-bladder-to-phophine-gas,0.012349877032607336
glass-1,0.012270660132832041
sap-01,0.012241198588983905
diamond-rejects-screening,0.012236729486043926
acrolein,0.012110154195538984
arqad-improve-5,0.011952279171899331
gas-bladder-to-acetylene,0.011896103775648675
trichlorosilane,0.011780611719785951
screening-kimberlite-residue,0.01134629666474929
micro-fiber,0.011339841298311731
small-parts-01,0.01120166723053918
fetal-serum-01,0.011052029253226698
eg-si,0.010870155036422018
copper-plate,0.010828320537081257
navens-1-abomination,0.010794505759880802
gas-bladder-to-hot-air,0.010660314559935736
ex-ski-trit,0.010461934948916896
fill-diesel-canister,0.010431586171209126
empty-diesel-canister,0.010426198281897673
nexelit-matrix,0.010366907114245807
bhoddos-to-ti,0.010255038771093062
milling-ree,0.010130829842336176
fluorophore,0.01009648649775246
cf1,0.010081901527165002
tissue-engineered-fat,0.00991799756732389
bitumen-comb,0.009908790010009735
dry-cf,0.00976972012829134
sea-sponge-sprouts,0.009680323439052152
silicon,0.009504329307292093
grade-2-zinc,0.009427908291018834
metallic-glass,0.008699977522799064
ball-grade-4-tin,0.008653076378526818
polycrystalline-slab,0.008595933282281346
hotair-shaft-mk03,0.008500703780764564
graphene-roll,0.00829964029864896
grade-2-lead,0.008299003169757586
laboratory-grown-brain,0.008275352611177414
cridren-seeds,0.008190673225684987
nexelit-battery-recharge,0.008098579308165382
cyanoacrylate,0.007977492818068699
ex-blo-sim,0.007955360586946124
kicalk-seeds,0.007922875066621963
ndfeb-powder,0.00784441379846613
adrenal-cortex,0.00767280986146433
fill-kerosene-canister,0.007667252725684716
empty-kerosene-canister,0.007638077866889137
phosphoric-acid2,0.007336371332375367
fill-methane-canister,0.00730890785983597
coal-dust3,0.007221386510306146
empty-aromatics-canister,0.007216342600640682
copper-rejects-recrush,0.007198524419747006
milling-molybdenite,0.007055739479569108
core-shell,0.0068680759035919595
simik-blood-to-oleochemicals,0.0066541904799752374
coal-fawogae-buffed,0.006598332803551019
proton-receiver,0.006418688127897981
tholin-to-chlorine,0.006354351940839382
vacuum,0.006330637447651803
empty-methane-canister,0.0062570044068263365
sb-dust,0.006204975263533067
grade-1-ti,0.00619989695686892
empty-heavy-oil-canister,0.006057583607520241
fill-heavy-oil-canister,0.006040316940883644
format-neuromorphic-chip,0.00594561390202554
empty-anthracene-oil-canister,0.005687608394045618
fill-anthracene-oil-canister,0.00566668113594704
pure-trichlorosilane,0.00566537932341663
grade-1-copper-crush,0.005608657473686445
high-tin-concentrate,0.005607260987118102
ex-blo-dhi,0.0055850837245477805
latex,0.005578021262666005
tholin-to-glycerol,0.00556117304378731
diamond-concentrate,0.005560910654961417
empty-methanol-canister,0.005488246155617085
fill-methanol-canister,0.005471984466199708
empty-propene-canister,0.00540406910808229
grade-4-copper,0.00539593787104758
empty-refsyngas-canister,0.0053758565859588405
rf-gel,0.005369444225942845
fill-refsyngas-canister,0.005358834458248157
fill-propene-canister,0.005309398552083232
tin-plate-2,0.005308412753347697
grade-1-lead,0.005289904004692511
gravel-to-sand,0.005227117263029395
mova-washing,0.005121174679242062
citric-acid-02,0.0050147256607428825
fill-aromatics-canister,0.005012946888787502
proton-donor,0.0050088140411982
pure-kimberlite-recrushing,0.004970640075825061
grade-3-copper,0.004896511396434279
sb-oxide-01,0.004745049352397952
zinc-acetate,0.004697680809330684
diamond-tailings,0.004696141408104478
simik-blood-to-kimberlite,0.004655034050680881
ex-bon-din,0.004611193233313591
titanium-plate-4,0.004546329116969607
grade-4-ti,0.004531970934018938
empty-fatty-acids-canister,0.004525764651762895
molten-solder-0,0.004305013691435392
stopper-2,0.004232009353807278
molybdenite-pulp,0.004133235571143397
crushing-molybdenite,0.003930698433726129
sub-denier-microfiber,0.0038892745587452175
ammonia-urea,0.00384737576809584
fill-bitumen-canister,0.003830077024553981
pa-boron,0.003816755421174977
cumene-distilation,0.0037584674995937875
molybdenum-pulp,0.003730991764152329
carapace-to-re,0.0036499256504350075
libr,0.0035791866984392767
crusher-ree,0.003574710162903047
kimberlite-into-lime,0.003472785441879038
empty-tar-canister,0.003434987450928704
soaked-gel,0.00340434069436827
fill-acetylene-canister,0.0033778616949581082
fill-tar-canister,0.0033551125677525554
niobium-dust,0.0032975096389640454
fill-gasoline-canister,0.0032895657814396963
empty-gasoline-canister,0.003267494741286607
fill-petroleum-gas-canister,0.003233397031863398
empty-petroleum-gas-canister,0.0032060084613874896
fill-fatty-acids-canister,0.003159379311374774
rejects-separation,0.0031273194444340407
nb-biomass-extraction,0.0030403232069329514
nexelit-ore-1,0.003003945352044283
fawogae-to-chelator,0.0029653823381570027
empty-planter-box,0.002960944252342309
sodium-carbonate-1,0.002922128232950759
waste-water-urea,0.0029096863482698894
diborane,0.0028903583346651896
boron-carbide,0.00285711263838557
honey-comb-buffed,0.002756480964553848
molybdenum-concentrate,0.002745379378031769
silicon-wafer-2,0.0026766607938327504
syngas-distilation,0.0026309930221421296
crushed-coal,0.00262981187328002
grade-3-ti,0.0025829566099296224
lithium-chloride,0.002548062407524731
empty-ethylene-canister,0.0024940723022847198
fill-ethylene-canister,0.002488297816283862
grod-seeds,0.002416604518738145
albumin-1,0.002379191383558816
fill-light-oil-canister,0.0023659081863962
empty-light-oil-canister,0.0023592549387680527
empty-stripped-distillate-canister,0.0023573155750559187
plasmonic-core,0.0023457772679522965
molten-steel-02,0.0023349125699888965
jig-diamond-concentrate,0.002327909990574272
methane-co2-with-lamp,0.0023046763054741437
dhilmos-grow-01,0.0022549479511747663
washing-crude,0.0022400956322954483
reo,0.0022193669820038424
empty-syngas-canister,0.0021594751081003764
mositial-nx,0.002128273789864963
aerogel,0.002125416905865017
hts-coil,0.002117196751554388
trits-cub-1-mgo,0.0021131328009506667
fill-stripped-distillate-canister,0.002111274907390598
gearbox-mk01,0.0021079274659070463
bones-to-phosphate,0.0020461188252655117
grade-3-tin,0.002031035756389539
classify-low-grade,0.0019883568667232064
casein-pulp-02,0.0019792497918883598
superconductor-servomechanims,0.0019525300894971834
plastic-from-melamine,0.0019213114584461558
molybdenum-oxide,0.0019167059132011437
mova-super-1,0.0018994293575941665
sporopollenin-gills,0.0018740888912992743
empty-bitumen-canister,0.001858980150472985
controler-mk02,0.0018577007283471726
perylene,0.0018452513433067027
bakelite,0.0018121174761526557
carbon-sulfide,0.0017781618187005129
pressured-water,0.001757980856676028
solder,0.0017107857033812643
slacked-lime,0.0017049796805632506
full-render-navens-abomination,0.0016912519781675103
soot-to-lead,0.0016850793977634868
niobium-concentrate,0.0016068414511720827
cadaveric-processing-01,0.0015991604208460141
nbfe-coating,0.0015984932420656404
kevlar-coating,0.0015733011339200656
empty-acetylene-canister,0.0015503228520710576
grade-2-crush-lead,0.0015181687790553897
full-molten-super-steel-3,0.0015026935314165378
capacitor3,0.0015018009556743463
heavy-p-type,0.0014974433614094915
fill-naphtha-canister,0.001491521830915837
extract-sulfur,0.0014900425907768127
empty-naphtha-canister,0.0014879291530190302
full-molten-super-steel-2,0.0014833691505632084
full-render-fish,0.0014776455893710844
full-molten-stainless-steel-4,0.0014713103738438849
niobium-powder,0.001468444039650596
coated-container,0.0014682016402548295
aluminium-plate-1,0.001458415880113639
enriched-water-distillation,0.0014547712811204137
nylon-parts,0.0014478487781867133
americium-seperation,0.0014313888940386504
arqad-filled-honeycomb-1,0.0014245804665087578
biosynthetic-nylon,0.0013977419327186275
powdered-phosphate-rock,0.0013837450003204947
breed-fish-egg-1,0.001307949011940153
empty-naphthalene-oil-canister,0.001301781114300573
mova-pulp1,0.0013007626438507128
rayon,0.0012857851872996894
boric-acid,0.0012636926039566367
chitin-to-geothermal-water,0.0012627741946452716
high-grade-tin,0.001249186693166867
stripped-distillate-to-cumene,0.0012488330887552945
rennea-1-hydrophile,0.0012368978232864087
science-coating,0.001231885285076409
creamy-latex,0.0012206536146445917
full-molten-super-steel-1,0.0012136029431845104
vanadium-oxide,0.001208213816789003
enriched-water,0.0011653010640195276
polycrystalline-plate,0.0011585146782313635
fill-naphthalene-oil-canister,0.0011499850029873988
carbon-dust,0.0011182200963527154
equipment-chassi,0.00111385782273345
crucible,0.0011102144784327936
grade-4-nickel,0.0011090350488316566
aniline-01,0.0010717718608739008
green-sic,0.0010685841678856297
full-molten-stainless-steel-3,0.0010599654564951643
ticl4,0.0010565655535800347
cool-air,0.0010455654625034013
empty-tholins-vessel,0.0009970120514061567
phthalic-anhydride,0.0009890982299599962
pressured-air,0.0009806546984632957
ash-separation,0.0009758598862706072
casein-pulp-01,0.0009718395079585008
tuuphra-grease,0.0009661306909749267
flask,0.0009579550542456737
cold-clean-air,0.000955464751774537
chromite-rejects-processing,0.0009455059327786908
processor-core,0.000941810741653066
olechemicals-from-skin,0.0009365246637748932
brake-mk03,0.0009364381479023559
soda-ash,0.000936062756079945
silica-powder,0.000932736940845915
mova-pulp2,0.0009307345245785554
venom-gland-to-dynemicin,0.0009143586928444831
calcinate-bone,0.0009057696636199084
ralesia-seeds,0.0009041436923834615
full-molten-stainless-steel-2,0.0009019565409417892
niobium-pipe,0.0008712720178442136
bioartificial-guts,0.0008561631778303148
biomass-sporopollenin-nerfed,0.0008344356340216619
full-molten-stainless-steel-1,0.0008335156010786363
iron-gear-wheel,0.0008322438220377742
stainless-steel,0.0008272731758166675
wood-to-coal,0.0008242327922867233
sic,0.0008199388483539437
jerky-to-phytoplankton,0.0008185930853101806
jig-separation,0.0008131939730957457
grade-1-nickel,0.0007967540858419705
latex-slab,0.0007626139900342645
copper-solution,0.0007584180230898421
cladded-core,0.0007579712362233612
molybdenum-filtration,0.0007433207588174787
cottongut-science-prod-seeds,0.0007372563710829491
wax,0.0007293973021572141
capacitor1,0.0007263441790097804
copper-pulp-01,0.000718548356189902
copper-pulp-02,0.0007177579275626556
copper-pulp-03,0.0007172026244447602
copper-pregnant-solution,0.0007171068770343041
copper-pulp-04,0.000717031329210598
salt-solution,0.0007161167943859114
biomimetic-skin,0.0007135698996142343
yotoi-super-1,0.0007073344774381393
hydrogen-peroxide,0.000704690226610984
nanofibrils,0.0006903343780125252
trits-1,0.0006804595688665332
caged-phadai-11,0.0006793901290650712
class-diamond,0.0006786296103848607
casein,0.000663498789307475
guhcl,0.0006586484785427536
pump,0.000657106847198238
grade-4-chromite,0.0006559224425667783
deuterium-sulfide,0.0006532367582675291
coarse-coal,0.0006509671980592936
hot-solution,0.0006402107547218497
grade-1-zinc,0.0006256126131719123
purified-air,0.0006216718761632658
greasing-1,0.0006207695615585496
grade-3-nickel,0.0006205395473460807
empty-coal-gas-canister,0.0006196146811562073
fill-coal-gas-canister,0.0006175441585777486
grade-1-tin,0.0006157706536232856
processing-unit,0.0006097421279734658
purine-analogues,0.0005987776965860052
am-243-transmutation,0.0005918291429456097
dieletric-layer,0.0005875443295193155
yaedols-spore-4,0.0005784024811468017
simik-improved-3,0.0005780181255687196
